time_of_day,temperature,humidity
09:00:01,25.0,43.0
09:00:05,25.0,43.0
09:00:06,25.0,43.0
09:00:08,25.0,43.0
09:00:09,25.0,43.0
09:00:11,25.0,43.0
09:00:12,25.0,43.0
09:00:14,25.0,43.0
09:00:15,25.0,43.0
09:00:17,25.0,43.0
09:00:21,25.0,43.0
09:00:22,25.0,42.0
09:00:24,25.0,43.0
09:00:30,25.0,42.0
09:00:32,25.0,42.0
09:00:36,25.0,43.0
09:00:38,25.0,43.0
09:00:39,25.0,43.0
09:00:41,25.0,43.0
09:00:42,25.0,43.0
09:00:44,25.0,43.0
09:00:45,25.0,43.0
09:00:47,25.0,43.0
09:00:48,25.0,43.0
09:00:50,25.0,43.0
09:00:54,25.0,43.0
09:00:55,25.0,42.0
09:00:57,25.0,43.0
09:00:58,25.0,43.0
09:01:00,25.0,42.0
09:01:02,25.0,43.0
09:01:08,25.0,42.0
09:01:10,25.0,42.0
09:01:11,25.0,43.0
09:01:13,25.0,43.0
09:01:14,25.0,43.0
09:01:16,25.0,43.0
09:01:17,25.0,43.0
09:01:19,25.0,43.0
09:01:20,25.0,43.0
09:01:22,25.0,43.0
09:01:23,25.0,43.0
09:01:25,25.0,42.0
09:01:26,25.0,42.0
09:01:28,25.0,43.0
09:01:29,25.0,43.0
09:01:31,25.0,43.0
09:01:33,25.0,43.0
09:01:34,25.0,43.0
09:01:36,25.0,42.0
09:01:37,25.0,42.0
09:01:39,25.0,42.0
09:01:40,25.0,42.0
09:01:42,25.0,42.0
09:01:43,25.0,42.0
09:01:45,25.0,42.0
09:01:46,25.0,43.0
09:01:48,25.0,42.0
09:01:52,25.0,42.0
09:01:53,25.0,42.0
09:01:55,25.0,43.0
09:01:56,25.0,42.0
09:02:03,25.0,42.0
09:02:05,25.0,42.0
09:02:09,25.0,42.0
09:02:10,25.0,42.0
09:02:12,25.0,43.0
09:02:13,25.0,42.0
09:02:15,25.0,42.0
09:02:16,25.0,43.0
09:02:18,25.0,42.0
09:02:19,25.0,42.0
09:02:23,25.0,42.0
09:02:27,25.0,42.0
09:02:29,25.0,42.0
09:02:33,25.0,43.0
09:02:35,25.0,42.0
09:02:39,25.0,43.0
09:02:40,25.0,42.0
09:02:44,25.0,43.0
09:02:46,25.0,42.0
09:02:50,25.0,43.0
09:02:51,25.0,42.0
09:02:55,25.0,43.0
09:02:57,25.0,43.0
09:02:58,25.0,43.0
09:03:00,25.0,43.0
09:03:04,25.0,43.0
09:03:05,25.0,43.0
