time_of_day,temperature,humidity
10:00:03,26.0,40.0
10:00:04,26.0,40.0
10:00:06,26.0,40.0
10:00:07,26.0,40.0
10:00:09,26.0,40.0
10:00:10,26.0,40.0
10:00:12,26.0,40.0
10:00:19,26.0,40.0
10:00:20,26.0,40.0
10:00:22,26.0,40.0
10:00:23,26.0,40.0
10:00:25,26.0,40.0
10:00:26,26.0,40.0
10:00:28,26.0,40.0
10:00:29,26.0,40.0
10:00:31,26.0,40.0
10:00:32,26.0,40.0
10:00:36,26.0,40.0
10:00:38,26.0,40.0
10:00:39,26.0,40.0
10:00:41,26.0,40.0
10:00:43,26.0,40.0
10:00:44,26.0,40.0
10:00:46,26.0,40.0
10:00:47,26.0,40.0
10:00:49,26.0,40.0
10:00:50,26.0,40.0
10:00:52,26.0,40.0
10:00:53,26.0,40.0
10:00:55,26.0,40.0
10:00:56,26.0,40.0
10:00:58,26.0,40.0
10:00:59,26.0,40.0
10:01:01,26.0,40.0
10:01:02,26.0,40.0
10:01:04,26.0,40.0
10:01:05,26.0,40.0
10:01:07,26.0,40.0
10:01:08,26.0,40.0
10:01:13,26.0,40.0
10:01:14,26.0,40.0
10:01:16,26.0,40.0
10:01:17,26.0,40.0
10:01:19,26.0,40.0
10:01:20,26.0,40.0
10:01:22,26.0,40.0
10:01:23,26.0,40.0
10:01:25,26.0,40.0
10:01:26,26.0,40.0
10:01:28,26.0,40.0
10:01:29,26.0,40.0
10:01:31,26.0,40.0
10:01:35,26.0,40.0
10:01:36,26.0,40.0
10:01:38,26.0,40.0
10:01:42,26.0,40.0
10:01:44,26.0,40.0
10:01:45,26.0,40.0
10:01:47,26.0,40.0
10:01:48,26.0,40.0
10:01:50,26.0,40.0
10:01:51,26.0,40.0
10:01:53,26.0,40.0
10:01:54,26.0,40.0
10:01:56,26.0,40.0
10:01:57,26.0,40.0
10:01:59,26.0,40.0
10:02:00,26.0,40.0
10:02:02,26.0,40.0
10:02:03,26.0,40.0
10:02:05,26.0,40.0
10:02:06,26.0,40.0
10:02:08,26.0,40.0
10:02:09,26.0,40.0
10:02:11,26.0,40.0
10:02:13,26.0,40.0
10:02:14,26.0,40.0
10:02:16,26.0,40.0
10:02:17,26.0,40.0
10:02:19,26.0,40.0
10:02:20,26.0,40.0
10:02:22,26.0,40.0
10:02:23,26.0,40.0
10:02:25,26.0,40.0
10:02:26,26.0,40.0
10:02:28,26.0,40.0
10:02:29,26.0,40.0
10:02:31,26.0,40.0
10:02:32,26.0,40.0
10:02:34,26.0,40.0
10:02:35,26.0,40.0
10:02:37,26.0,40.0
10:02:41,26.0,40.0
10:02:43,26.0,40.0
10:02:44,26.0,40.0
10:02:46,26.0,40.0
10:02:47,26.0,40.0
10:02:49,26.0,40.0
10:02:50,26.0,40.0
10:02:52,26.0,40.0
10:02:53,26.0,40.0
10:02:55,26.0,40.0
10:02:56,26.0,40.0
10:02:58,26.0,40.0
10:02:59,26.0,40.0
10:03:01,26.0,40.0
10:03:07,26.0,40.0
10:03:09,26.0,40.0
10:03:10,26.0,40.0
10:03:12,26.0,40.0
10:03:14,26.0,40.0
10:03:15,26.0,40.0
10:03:17,26.0,40.0
10:03:18,26.0,40.0
10:03:20,26.0,40.0
10:03:21,26.0,40.0
10:03:23,26.0,40.0
10:03:24,26.0,40.0
10:03:26,26.0,40.0
10:03:27,26.0,40.0
10:03:29,26.0,40.0
10:03:30,26.0,40.0
10:03:32,26.0,40.0
10:03:33,26.0,40.0
10:03:35,26.0,40.0
10:03:36,26.0,40.0
10:03:38,26.0,40.0
10:03:40,26.0,40.0
10:03:41,26.0,40.0
10:03:43,26.0,40.0
10:03:44,26.0,40.0
10:03:46,26.0,40.0
10:03:47,26.0,40.0
10:03:49,26.0,40.0
10:03:50,26.0,40.0
10:03:52,26.0,40.0
10:03:53,26.0,40.0
10:03:55,26.0,40.0
10:03:56,26.0,40.0
10:03:58,26.0,41.0
10:03:59,26.0,40.0
10:04:01,26.0,40.0
10:04:02,26.0,40.0
10:04:06,26.0,40.0
10:04:08,26.0,40.0
10:04:10,26.0,40.0
10:04:11,26.0,40.0
10:04:13,26.0,40.0
10:04:14,26.0,40.0
10:04:16,26.0,40.0
10:04:17,26.0,40.0
10:04:19,26.0,40.0
10:04:20,26.0,40.0
10:04:22,26.0,40.0
10:04:23,26.0,40.0
10:04:25,26.0,40.0
10:04:26,26.0,40.0
10:04:28,26.0,40.0
10:04:29,26.0,40.0
10:04:31,26.0,40.0
10:04:32,26.0,40.0
10:04:34,26.0,40.0
10:04:35,26.0,40.0
10:04:37,26.0,40.0
10:04:39,26.0,40.0
10:04:40,26.0,40.0
10:04:42,26.0,40.0
10:04:43,26.0,40.0
10:04:45,26.0,40.0
10:04:46,26.0,40.0
10:04:50,26.0,40.0
10:04:52,26.0,40.0
10:04:53,26.0,40.0
10:04:55,26.0,40.0
10:04:56,26.0,40.0
10:05:00,26.0,40.0
10:05:02,26.0,40.0
10:05:06,26.0,40.0
10:05:07,26.0,40.0
10:05:09,26.0,40.0
10:05:11,26.0,40.0
10:05:12,26.0,40.0
10:05:14,26.0,40.0
10:05:15,26.0,40.0
10:05:17,26.0,40.0
10:05:18,26.0,40.0
10:05:20,26.0,40.0
10:05:21,26.0,40.0
10:05:23,26.0,40.0
10:05:27,26.0,40.0
10:05:28,26.0,40.0
10:05:30,26.0,40.0
10:05:31,26.0,40.0
10:05:33,26.0,40.0
10:05:34,26.0,40.0
10:05:36,26.0,40.0
10:05:37,26.0,40.0
10:05:39,26.0,40.0
10:05:41,26.0,40.0
10:05:42,26.0,40.0
10:05:44,26.0,40.0
10:05:45,26.0,40.0
10:05:47,26.0,40.0
10:05:48,26.0,40.0
10:05:50,26.0,40.0
10:05:51,26.0,40.0
10:05:53,26.0,40.0
10:05:54,26.0,40.0
10:05:56,26.0,40.0
10:05:57,26.0,40.0
10:05:59,26.0,40.0
10:06:03,26.0,40.0
10:06:04,26.0,40.0
10:06:06,26.0,40.0
10:06:07,26.0,40.0
10:06:09,26.0,40.0
10:06:11,26.0,40.0
10:06:12,26.0,40.0
10:06:14,26.0,40.0
10:06:15,26.0,40.0
10:06:17,26.0,40.0
10:06:18,26.0,40.0
10:06:20,26.0,40.0
10:06:21,26.0,40.0
10:06:23,26.0,40.0
10:06:24,26.0,40.0
10:06:26,26.0,40.0
10:06:27,26.0,40.0
10:06:31,26.0,40.0
10:06:33,26.0,40.0
10:06:34,26.0,40.0
10:06:36,26.0,40.0
10:06:38,26.0,40.0
10:06:39,26.0,40.0
10:06:41,26.0,40.0
10:06:42,26.0,40.0
10:06:44,26.0,40.0
10:06:45,26.0,40.0
10:06:47,26.0,40.0
10:06:48,26.0,40.0
10:06:50,26.0,40.0
10:06:51,26.0,40.0
10:06:53,26.0,40.0
10:06:54,26.0,40.0
10:06:56,26.0,40.0
10:06:57,26.0,40.0
10:06:59,26.0,40.0
10:07:00,26.0,40.0
10:07:02,26.0,40.0
10:07:03,26.0,40.0
10:07:05,26.0,40.0
10:07:07,26.0,40.0
10:07:08,26.0,40.0
10:07:10,26.0,40.0
10:07:11,26.0,40.0
10:07:13,26.0,40.0
10:07:14,26.0,40.0
10:07:16,26.0,40.0
10:07:20,26.0,40.0
10:07:21,26.0,40.0
10:07:23,26.0,40.0
10:07:24,26.0,40.0
10:07:26,26.0,40.0
10:07:27,26.0,40.0
10:07:29,26.0,40.0
10:07:30,26.0,40.0
10:07:32,26.0,40.0
10:07:33,26.0,40.0
10:07:35,26.0,40.0
10:07:37,26.0,40.0
10:07:38,26.0,40.0
10:07:42,26.0,40.0
10:07:44,26.0,39.0
10:07:45,26.0,40.0
10:07:47,26.0,40.0
10:07:48,26.0,40.0
10:07:50,26.0,40.0
10:07:51,26.0,40.0
10:07:53,26.0,40.0
10:07:54,26.0,40.0
10:07:56,26.0,40.0
10:07:57,26.0,40.0
10:07:59,26.0,40.0
10:08:00,26.0,40.0
10:08:02,26.0,40.0
10:08:03,26.0,40.0
10:08:05,26.0,40.0
10:08:07,26.0,40.0
10:08:08,26.0,40.0
10:08:10,26.0,40.0
10:08:11,26.0,40.0
10:08:13,26.0,40.0
10:08:14,26.0,40.0
10:08:18,26.0,40.0
10:08:20,26.0,40.0
10:08:21,26.0,40.0
10:08:25,26.0,40.0
10:08:27,26.0,40.0
10:08:28,26.0,40.0
10:08:30,26.0,40.0
10:08:31,26.0,40.0
10:08:33,26.0,40.0
10:08:35,26.0,40.0
10:08:36,26.0,40.0
10:08:38,26.0,40.0
10:08:39,26.0,40.0
10:08:41,26.0,40.0
10:08:45,26.0,40.0
10:08:46,26.0,40.0
10:08:50,26.0,40.0
10:08:52,26.0,40.0
10:08:53,26.0,40.0
10:08:55,26.0,40.0
10:08:56,26.0,40.0
10:08:58,26.0,40.0
10:08:59,26.0,40.0
10:09:01,26.0,40.0
10:09:05,26.0,40.0
10:09:07,26.0,40.0
10:09:08,26.0,40.0
10:09:10,26.0,40.0
10:09:11,26.0,40.0
10:09:13,26.0,40.0
10:09:14,26.0,40.0
10:09:16,26.0,40.0
10:09:17,26.0,40.0
10:09:19,26.0,40.0
10:09:20,26.0,40.0
10:09:22,26.0,40.0
10:09:23,26.0,40.0
10:09:25,26.0,40.0
10:09:26,26.0,40.0
10:09:28,26.0,40.0
10:09:29,26.0,40.0
10:09:31,26.0,40.0
10:09:32,26.0,40.0
10:09:34,26.0,40.0
10:09:36,26.0,40.0
10:09:37,26.0,40.0
10:09:39,26.0,40.0
10:09:40,26.0,40.0
10:09:42,26.0,40.0
10:09:43,26.0,40.0
10:09:45,26.0,40.0
10:09:46,26.0,40.0
10:09:48,26.0,40.0
10:09:52,26.0,40.0
10:09:53,26.0,40.0
10:09:55,26.0,40.0
10:09:56,26.0,40.0
10:10:00,26.0,40.0
10:10:02,26.0,40.0
10:10:04,26.0,40.0
10:10:05,26.0,40.0
10:10:07,26.0,40.0
10:10:08,26.0,40.0
10:10:10,26.0,40.0
10:10:11,26.0,40.0
10:10:13,26.0,40.0
10:10:14,26.0,40.0
10:10:18,26.0,40.0
10:10:20,26.0,40.0
10:10:21,26.0,40.0
10:10:23,26.0,40.0
10:10:27,26.0,40.0
10:10:28,26.0,40.0
10:10:30,26.0,40.0
10:10:31,26.0,40.0
10:10:33,26.0,40.0
10:10:35,26.0,40.0
10:10:36,26.0,40.0
10:10:38,26.0,40.0
10:10:39,26.0,40.0
10:10:41,26.0,40.0
10:10:42,26.0,40.0
10:10:44,26.0,40.0
10:10:45,26.0,40.0
10:10:47,26.0,40.0
10:10:48,26.0,40.0
10:10:50,26.0,40.0
10:10:51,26.0,40.0
10:10:55,26.0,40.0
10:10:57,26.0,39.0
10:11:01,26.0,40.0
10:11:02,26.0,39.0
10:11:04,26.0,40.0
10:11:06,26.0,40.0
10:11:07,26.0,40.0
10:11:09,26.0,40.0
10:11:10,26.0,40.0
10:11:12,26.0,40.0
10:11:13,26.0,39.0
10:11:15,26.0,39.0
10:11:16,26.0,39.0
10:11:18,26.0,39.0
10:11:24,26.0,39.0
10:11:26,26.0,39.0
10:11:27,26.0,39.0
10:11:29,26.0,39.0
10:11:30,26.0,39.0
10:11:32,26.0,39.0
10:11:34,26.0,39.0
10:11:38,26.0,39.0
10:11:39,26.0,39.0
10:11:41,26.0,39.0
10:11:42,26.0,40.0
10:11:44,26.0,40.0
10:11:45,26.0,40.0
10:11:47,26.0,40.0
10:11:51,26.0,40.0
10:11:52,26.0,39.0
10:11:54,26.0,39.0
10:11:55,26.0,40.0
10:11:57,26.0,40.0
10:11:58,26.0,40.0
10:12:00,26.0,40.0
10:12:01,26.0,39.0
10:12:03,26.0,39.0
10:12:05,26.0,39.0
10:12:06,26.0,39.0
10:12:08,26.0,39.0
10:12:12,26.0,39.0
10:12:13,26.0,39.0
10:12:15,26.0,39.0
10:12:16,26.0,40.0
10:12:18,26.0,39.0
10:12:19,26.0,39.0
10:12:21,26.0,39.0
10:12:22,26.0,40.0
10:12:24,26.0,40.0
10:12:25,26.0,40.0
10:12:27,26.0,40.0
10:12:28,26.0,40.0
10:12:30,26.0,40.0
10:12:31,26.0,39.0
10:12:33,26.0,40.0
10:12:35,26.0,40.0
10:12:36,26.0,40.0
10:12:38,26.0,40.0
10:12:39,26.0,40.0
10:12:41,26.0,40.0
10:12:42,26.0,40.0
10:12:44,26.0,40.0
10:12:45,26.0,40.0
10:12:47,26.0,40.0
10:12:48,26.0,40.0
10:12:50,26.0,40.0
10:12:51,26.0,40.0
10:12:53,26.0,40.0
10:12:54,26.0,40.0
10:12:56,26.0,40.0
10:12:57,26.0,40.0
10:12:59,26.0,40.0
10:13:00,26.0,40.0
10:13:02,26.0,40.0
10:13:04,26.0,40.0
10:13:05,26.0,40.0
10:13:07,26.0,40.0
10:13:08,26.0,40.0
10:13:10,26.0,40.0
10:13:11,26.0,40.0
10:13:13,26.0,40.0
10:13:14,26.0,40.0
10:13:16,26.0,40.0
10:13:17,26.0,40.0
10:13:19,26.0,40.0
10:13:20,26.0,40.0
10:13:22,26.0,40.0
10:13:23,26.0,40.0
10:13:25,26.0,40.0
10:13:26,26.0,40.0
10:13:28,26.0,40.0
10:13:29,26.0,40.0
10:13:31,26.0,40.0
10:13:33,26.0,40.0
10:13:34,26.0,40.0
10:13:36,26.0,40.0
10:13:40,26.0,40.0
10:13:41,26.0,40.0
10:13:43,26.0,40.0
10:13:44,26.0,40.0
10:13:46,26.0,40.0
10:13:50,26.0,40.0
10:13:51,26.0,40.0
10:13:53,26.0,40.0
10:13:54,26.0,40.0
10:13:56,26.0,40.0
10:13:57,26.0,40.0
10:13:59,26.0,40.0
10:14:01,26.0,40.0
10:14:02,26.0,40.0
10:14:04,26.0,40.0
10:14:05,26.0,40.0
10:14:07,26.0,40.0
10:14:08,26.0,40.0
10:14:10,26.0,40.0
10:14:11,26.0,40.0
10:14:13,26.0,40.0
10:14:14,26.0,40.0
10:14:16,26.0,40.0
10:14:17,26.0,40.0
10:14:19,26.0,40.0
10:14:20,26.0,40.0
10:14:22,26.0,40.0
10:14:28,26.0,40.0
10:14:30,26.0,40.0
10:14:32,26.0,40.0
10:14:33,26.0,40.0
10:14:35,26.0,40.0
10:14:36,26.0,40.0
10:14:38,26.0,40.0
10:14:42,26.0,40.0
10:14:51,26.0,40.0
10:14:52,26.0,40.0
10:14:54,26.0,40.0
10:14:55,26.0,40.0
10:15:07,26.0,40.0
10:15:09,26.0,40.0
10:15:10,26.0,40.0
10:15:12,26.0,41.0
10:15:13,26.0,41.0
10:15:15,26.0,40.0
10:15:16,26.0,40.0
10:15:18,26.0,40.0
10:15:19,26.0,40.0
10:15:21,26.0,40.0
10:15:22,26.0,40.0
10:15:24,26.0,40.0
10:15:25,26.0,40.0
10:15:27,26.0,40.0
10:15:28,26.0,40.0
10:15:30,26.0,40.0
10:15:31,26.0,40.0
10:15:33,26.0,40.0
10:15:35,26.0,40.0
10:15:39,26.0,40.0
10:15:40,26.0,40.0
10:15:42,26.0,40.0
10:15:43,26.0,40.0
