time_of_day,temperature,humidity
10:00:02,26.0,46.0
10:00:03,26.0,46.0
10:00:05,26.0,46.0
10:00:06,26.0,46.0
10:00:10,26.0,46.0
10:00:12,26.0,46.0
10:00:13,26.0,46.0
10:00:15,26.0,46.0
10:00:16,26.0,46.0
10:00:18,26.0,46.0
10:00:22,26.0,46.0
10:00:24,26.0,46.0
10:00:25,26.0,46.0
10:00:27,26.0,46.0
10:00:28,26.0,46.0
10:00:30,26.0,46.0
10:00:34,26.0,46.0
10:00:35,26.0,46.0
10:00:37,26.0,46.0
10:00:38,26.0,46.0
10:00:40,26.0,46.0
10:00:41,26.0,46.0
10:00:43,26.0,46.0
10:00:44,26.0,46.0
10:00:48,26.0,46.0
10:00:50,26.0,46.0
10:00:52,26.0,46.0
10:00:53,26.0,46.0
10:00:55,26.0,46.0
10:00:56,26.0,46.0
10:00:58,26.0,46.0
10:01:02,26.0,46.0
10:01:03,26.0,46.0
10:01:05,26.0,46.0
10:01:06,26.0,46.0
10:01:08,26.0,46.0
10:01:09,26.0,46.0
10:01:11,26.0,46.0
10:01:12,26.0,46.0
10:01:14,26.0,46.0
10:01:15,26.0,46.0
10:01:17,26.0,46.0
10:01:18,26.0,46.0
10:01:20,26.0,46.0
10:01:22,26.0,46.0
10:01:23,26.0,46.0
10:01:25,26.0,46.0
10:01:26,26.0,46.0
10:01:28,26.0,46.0
10:01:29,26.0,46.0
10:01:31,26.0,46.0
10:01:32,26.0,46.0
10:01:36,26.0,46.0
10:01:38,26.0,46.0
10:01:39,26.0,46.0
10:01:41,26.0,46.0
10:01:42,26.0,46.0
10:01:44,26.0,46.0
10:01:45,26.0,46.0
10:01:47,26.0,46.0
10:01:48,26.0,46.0
10:01:50,26.0,46.0
10:01:52,26.0,46.0
10:01:53,26.0,46.0
10:01:55,26.0,46.0
10:01:59,26.0,46.0
10:02:00,26.0,46.0
10:02:02,26.0,46.0
10:02:03,26.0,46.0
10:02:05,26.0,46.0
10:02:06,26.0,46.0
10:02:08,26.0,46.0
10:02:09,26.0,46.0
10:02:11,26.0,46.0
10:02:12,26.0,46.0
10:02:14,26.0,46.0
10:02:15,26.0,46.0
10:02:17,26.0,46.0
10:02:18,26.0,46.0
10:02:20,26.0,46.0
10:02:22,26.0,46.0
10:02:23,26.0,46.0
10:02:27,26.0,46.0
10:02:29,26.0,46.0
10:02:33,26.0,46.0
10:02:34,26.0,46.0
10:02:36,26.0,46.0
10:02:37,26.0,46.0
10:02:39,26.0,46.0
10:02:43,26.0,46.0
10:02:44,26.0,46.0
10:02:46,26.0,46.0
10:02:47,26.0,46.0
