time_of_day,temperature,humidity
16:00:01,26.0,35.0
16:00:02,26.0,36.0
16:00:04,26.0,35.0
16:00:05,26.0,35.0
16:00:07,26.0,35.0
16:00:08,26.0,36.0
16:00:10,26.0,36.0
16:00:11,26.0,36.0
16:00:13,26.0,36.0
16:00:14,26.0,36.0
16:00:16,26.0,35.0
16:00:18,26.0,36.0
16:00:19,26.0,36.0
16:00:21,26.0,36.0
16:00:22,26.0,36.0
16:00:24,26.0,36.0
16:00:25,26.0,36.0
16:00:27,26.0,36.0
16:00:28,26.0,36.0
16:00:30,26.0,36.0
16:00:31,26.0,36.0
16:00:35,26.0,36.0
16:00:37,26.0,36.0
16:00:38,26.0,36.0
16:00:40,26.0,36.0
16:00:41,26.0,36.0
16:00:43,26.0,36.0
16:00:44,26.0,36.0
16:00:46,26.0,36.0
16:00:48,26.0,36.0
16:00:49,26.0,36.0
16:00:51,26.0,36.0
16:00:52,26.0,36.0
16:00:56,26.0,36.0
16:00:58,26.0,36.0
16:00:59,26.0,36.0
16:01:01,26.0,36.0
16:01:02,26.0,36.0
16:01:04,26.0,36.0
16:01:05,26.0,36.0
16:01:07,26.0,36.0
16:01:11,26.0,36.0
16:01:12,26.0,36.0
16:01:17,26.0,36.0
16:01:18,26.0,36.0
16:01:20,26.0,36.0
16:01:21,26.0,36.0
16:01:25,26.0,36.0
16:01:27,26.0,36.0
16:01:28,26.0,36.0
16:01:30,26.0,36.0
16:01:31,26.0,36.0
16:01:33,26.0,36.0
16:01:34,26.0,36.0
16:01:36,26.0,36.0
16:01:40,26.0,36.0
16:01:41,26.0,36.0
16:01:43,26.0,36.0
16:01:44,26.0,36.0
16:01:46,26.0,36.0
16:01:48,26.0,36.0
16:01:49,26.0,36.0
16:01:51,26.0,36.0
16:01:52,26.0,36.0
16:01:54,26.0,36.0
16:01:55,26.0,36.0
16:01:57,26.0,36.0
16:01:58,26.0,36.0
16:02:00,26.0,36.0
16:02:01,26.0,36.0
16:02:03,26.0,36.0
16:02:04,26.0,36.0
16:02:06,26.0,36.0
16:02:07,26.0,36.0
16:02:09,26.0,36.0
16:02:15,26.0,35.0
16:02:17,26.0,35.0
16:02:19,26.0,36.0
16:02:20,26.0,36.0
16:02:22,26.0,36.0
16:02:23,26.0,36.0
16:02:25,26.0,36.0
16:02:26,26.0,36.0
16:02:28,26.0,36.0
16:02:32,26.0,36.0
16:02:33,26.0,35.0
16:02:35,26.0,36.0
16:02:36,26.0,36.0
16:02:38,26.0,36.0
16:02:39,26.0,36.0
16:02:41,26.0,36.0
16:02:42,26.0,36.0
16:02:44,26.0,36.0
16:02:46,26.0,36.0
16:02:47,26.0,36.0
16:02:49,26.0,36.0
16:02:50,26.0,36.0
16:02:52,26.0,36.0
16:02:53,26.0,36.0
16:02:55,26.0,36.0
16:02:56,26.0,36.0
16:02:58,26.0,36.0
16:02:59,26.0,36.0
16:03:01,26.0,36.0
16:03:02,26.0,36.0
16:03:04,26.0,36.0
16:03:05,26.0,36.0
16:03:07,26.0,36.0
16:03:08,26.0,36.0
16:03:10,26.0,36.0
16:03:11,26.0,36.0
16:03:13,26.0,36.0
16:03:15,26.0,36.0
16:03:16,26.0,36.0
16:03:18,26.0,36.0
16:03:22,26.0,36.0
16:03:23,26.0,36.0
16:03:27,26.0,36.0
16:03:29,26.0,36.0
16:03:30,26.0,36.0
16:03:32,26.0,36.0
16:03:33,26.0,36.0
16:03:37,26.0,36.0
16:03:39,26.0,35.0
16:03:40,26.0,36.0
16:03:42,26.0,36.0
16:03:43,26.0,36.0
16:03:45,26.0,36.0
16:03:47,26.0,36.0
16:03:48,26.0,35.0
16:03:50,26.0,35.0
16:03:51,26.0,36.0
16:03:55,26.0,35.0
16:03:57,26.0,35.0
16:03:58,26.0,35.0
16:04:00,26.0,35.0
16:04:01,26.0,35.0
16:04:05,26.0,36.0
16:04:07,26.0,35.0
16:04:08,26.0,35.0
16:04:10,26.0,35.0
16:04:14,26.0,35.0
16:04:15,26.0,35.0
16:04:17,26.0,35.0
16:04:19,26.0,35.0
16:04:20,26.0,35.0
16:04:22,26.0,35.0
16:04:23,26.0,35.0
16:04:25,26.0,35.0
16:04:26,26.0,35.0
16:04:28,26.0,35.0
16:04:29,26.0,35.0
16:04:31,26.0,35.0
16:04:32,26.0,35.0
16:04:34,26.0,35.0
16:04:35,26.0,36.0
16:04:37,26.0,36.0
16:04:38,26.0,36.0
16:04:40,26.0,36.0
16:04:41,26.0,35.0
16:04:43,26.0,35.0
16:04:45,26.0,35.0
16:04:46,26.0,36.0
16:04:48,26.0,36.0
16:04:49,26.0,36.0
16:04:51,26.0,35.0
16:04:52,26.0,36.0
16:04:54,26.0,35.0
16:04:55,26.0,35.0
16:04:57,26.0,35.0
16:04:58,26.0,35.0
16:05:00,26.0,35.0
16:05:01,26.0,35.0
16:05:03,26.0,35.0
16:05:04,26.0,35.0
16:05:06,26.0,35.0
16:05:07,26.0,35.0
16:05:09,26.0,35.0
16:05:10,26.0,35.0
16:05:15,26.0,36.0
16:05:16,26.0,35.0
16:05:18,26.0,36.0
16:05:19,26.0,36.0
16:05:21,26.0,36.0
16:05:22,26.0,36.0
16:05:26,26.0,36.0
16:05:28,26.0,35.0
16:05:29,26.0,35.0
16:05:31,26.0,35.0
16:05:32,26.0,35.0
16:05:34,26.0,36.0
16:05:38,26.0,35.0
16:05:42,26.0,36.0
16:05:43,26.0,36.0
16:05:45,26.0,36.0
16:05:47,26.0,36.0
16:05:48,26.0,36.0
16:05:50,26.0,36.0
16:05:51,26.0,36.0
16:05:53,26.0,36.0
16:05:57,26.0,36.0
16:05:58,26.0,36.0
16:06:00,26.0,36.0
16:06:01,26.0,36.0
16:06:03,26.0,36.0
16:06:04,26.0,36.0
16:06:06,26.0,36.0
16:06:07,26.0,36.0
16:06:09,26.0,36.0
16:06:10,26.0,36.0
16:06:12,26.0,36.0
16:06:13,26.0,36.0
16:06:15,26.0,36.0
16:06:17,26.0,36.0
16:06:18,26.0,36.0
16:06:20,26.0,36.0
16:06:24,26.0,36.0
16:06:25,26.0,36.0
16:06:27,26.0,36.0
16:06:31,26.0,36.0
16:06:32,26.0,36.0
16:06:34,26.0,36.0
16:06:35,26.0,36.0
16:06:37,26.0,36.0
16:06:38,26.0,36.0
16:06:40,26.0,36.0
16:06:41,26.0,36.0
