time_of_day,temperature,humidity
02:00:00,26.0,49.0
02:00:04,25.0,48.0
02:00:05,25.0,48.0
02:00:07,26.0,49.0
02:00:08,25.0,48.0
02:00:10,25.0,48.0
02:00:11,26.0,49.0
02:00:13,26.0,49.0
02:00:17,26.0,49.0
02:00:18,26.0,49.0
02:00:20,26.0,49.0
02:00:21,26.0,49.0
02:00:26,26.0,49.0
02:00:27,25.0,48.0
02:00:29,25.0,48.0
02:00:30,25.0,48.0
02:00:32,26.0,49.0
02:00:33,25.0,48.0
02:00:35,26.0,49.0
02:00:36,26.0,49.0
02:00:38,25.0,48.0
02:00:39,26.0,49.0
02:00:41,25.0,48.0
02:00:42,25.0,48.0
02:00:44,26.0,49.0
02:00:45,25.0,48.0
02:00:47,25.0,48.0
02:00:48,25.0,48.0
02:00:50,25.0,48.0
02:00:54,26.0,49.0
02:00:56,26.0,49.0
02:00:57,26.0,49.0
02:00:59,26.0,49.0
02:01:00,25.0,48.0
02:01:02,25.0,48.0
02:01:03,26.0,49.0
02:01:07,26.0,49.0
02:01:11,26.0,49.0
02:01:13,26.0,49.0
02:01:14,25.0,48.0
02:01:16,26.0,49.0
02:01:20,25.0,48.0
02:01:21,26.0,49.0
02:01:23,26.0,49.0
02:01:25,25.0,48.0
02:01:26,26.0,49.0
02:01:28,25.0,48.0
02:01:29,25.0,48.0
02:01:33,25.0,48.0
02:01:35,26.0,49.0
02:01:36,25.0,48.0
02:01:43,25.0,48.0
02:01:44,26.0,49.0
02:01:46,26.0,49.0
02:01:47,25.0,48.0
02:01:54,25.0,48.0
02:01:55,26.0,49.0
02:01:57,26.0,49.0
02:01:59,25.0,48.0
02:02:00,26.0,49.0
02:02:02,25.0,48.0
02:02:03,25.0,48.0
02:02:05,26.0,49.0
02:02:09,26.0,49.0
02:02:10,25.0,48.0
02:02:12,25.0,48.0
02:02:13,25.0,48.0
02:02:15,25.0,48.0
02:02:16,26.0,49.0
02:02:18,26.0,49.0
02:02:19,25.0,48.0
02:02:21,25.0,48.0
02:02:25,25.0,48.0
02:02:29,25.0,48.0
02:02:31,26.0,49.0
02:02:32,25.0,48.0
02:02:34,26.0,49.0
02:02:38,25.0,48.0
02:02:39,25.0,48.0
02:02:41,26.0,49.0
02:02:42,25.0,48.0
02:02:44,25.0,48.0
02:02:45,26.0,49.0
02:02:47,26.0,49.0
02:02:48,26.0,49.0
02:02:50,25.0,48.0
02:02:51,25.0,48.0
02:02:53,25.0,48.0
02:02:54,26.0,49.0
02:02:56,25.0,48.0
02:02:58,25.0,48.0
02:02:59,26.0,49.0
02:03:01,26.0,49.0
02:03:02,25.0,48.0
02:03:04,25.0,48.0
02:03:05,25.0,48.0
02:03:07,26.0,49.0
02:03:08,25.0,48.0
02:03:10,26.0,49.0
02:03:11,26.0,49.0
02:03:13,26.0,49.0
02:03:14,26.0,49.0
02:03:16,25.0,48.0
02:03:17,26.0,49.0
02:03:19,25.0,48.0
02:03:20,26.0,49.0
02:03:22,25.0,48.0
02:03:23,26.0,49.0
02:03:25,26.0,49.0
02:03:29,25.0,48.0
02:03:33,25.0,48.0
02:03:35,26.0,49.0
02:03:36,25.0,48.0
02:03:38,26.0,49.0
02:03:39,25.0,48.0
02:03:41,25.0,48.0
02:03:42,26.0,49.0
02:03:44,26.0,49.0
02:03:45,26.0,49.0
02:03:47,26.0,49.0
02:03:48,26.0,49.0
02:03:57,26.0,49.0
02:03:59,26.0,49.0
02:04:01,25.0,48.0
02:04:02,26.0,49.0
02:04:04,26.0,49.0
02:04:05,25.0,48.0
02:04:07,25.0,48.0
02:04:08,25.0,48.0
02:04:10,26.0,49.0
02:04:11,25.0,48.0
02:04:13,26.0,49.0
02:04:14,26.0,49.0
02:04:16,26.0,49.0
02:04:17,26.0,49.0
02:04:19,25.0,48.0
02:04:20,26.0,49.0
02:04:22,26.0,49.0
02:04:23,26.0,49.0
02:04:27,26.0,49.0
02:04:29,26.0,49.0
02:04:31,26.0,49.0
02:04:32,26.0,49.0
02:04:36,26.0,49.0
02:04:38,25.0,48.0
02:04:39,25.0,48.0
02:04:43,26.0,49.0
02:04:45,26.0,49.0
02:04:46,25.0,48.0
02:04:48,25.0,48.0
02:04:49,26.0,49.0
02:04:51,26.0,49.0
02:04:52,26.0,49.0
02:04:54,25.0,48.0
02:04:55,26.0,49.0
02:04:57,26.0,49.0
02:04:59,25.0,48.0
02:05:00,25.0,48.0
02:05:07,25.0,48.0
02:05:08,25.0,48.0
02:05:12,25.0,48.0
02:05:14,25.0,48.0
02:05:15,25.0,48.0
02:05:17,25.0,48.0
02:05:18,26.0,49.0
02:05:20,26.0,49.0
02:05:21,26.0,49.0
02:05:23,25.0,48.0
02:05:24,26.0,49.0
02:05:26,25.0,48.0
02:05:27,26.0,49.0
02:05:29,25.0,48.0
02:05:31,25.0,48.0
02:05:32,25.0,48.0
02:05:34,26.0,49.0
02:05:35,26.0,49.0
02:05:37,25.0,48.0
02:05:46,25.0,48.0
02:05:47,25.0,48.0
02:05:49,25.0,48.0
02:05:50,25.0,48.0
02:05:52,25.0,48.0
02:05:53,26.0,49.0
02:05:55,25.0,48.0
02:05:56,26.0,49.0
02:06:00,25.0,48.0
02:06:02,26.0,49.0
02:06:04,26.0,49.0
02:06:05,26.0,49.0
02:06:07,25.0,48.0
02:06:08,25.0,48.0
02:06:10,25.0,48.0
02:06:11,26.0,49.0
02:06:13,26.0,49.0
02:06:14,26.0,49.0
02:06:16,26.0,49.0
02:06:17,26.0,49.0
02:06:19,25.0,48.0
02:06:20,26.0,49.0
02:06:22,26.0,49.0
02:06:23,25.0,48.0
02:06:25,26.0,49.0
02:06:26,26.0,49.0
02:06:28,25.0,48.0
02:06:30,26.0,49.0
02:06:31,26.0,49.0
02:06:33,25.0,48.0
02:06:34,26.0,49.0
02:06:36,26.0,49.0
02:06:40,25.0,48.0
02:06:41,26.0,49.0
02:06:43,25.0,48.0
02:06:44,26.0,49.0
02:06:46,26.0,49.0
02:06:47,26.0,49.0
02:06:49,26.0,49.0
02:06:50,26.0,49.0
02:06:52,25.0,48.0
02:06:56,26.0,49.0
02:06:57,26.0,49.0
02:06:59,26.0,49.0
02:07:03,26.0,49.0
02:07:05,26.0,49.0
02:07:06,26.0,49.0
02:07:08,25.0,48.0
02:07:09,25.0,48.0
02:07:11,26.0,49.0
02:07:12,26.0,49.0
02:07:14,25.0,48.0
02:07:15,26.0,49.0
02:07:17,26.0,49.0
02:07:18,25.0,48.0
02:07:20,26.0,49.0
02:07:21,26.0,49.0
02:07:23,25.0,48.0
02:07:24,25.0,48.0
02:07:26,25.0,48.0
02:07:30,25.0,48.0
02:07:32,26.0,49.0
02:07:33,25.0,48.0
02:07:35,26.0,49.0
02:07:36,25.0,48.0
02:07:38,26.0,49.0
02:07:39,25.0,48.0
02:07:43,26.0,49.0
02:07:45,26.0,49.0
02:07:49,26.0,49.0
02:07:50,25.0,48.0
02:07:52,26.0,49.0
02:07:53,26.0,49.0
02:07:55,26.0,49.0
02:07:56,25.0,48.0
02:08:00,26.0,49.0
02:08:02,26.0,49.0
02:08:04,25.0,48.0
02:08:05,25.0,48.0
02:08:07,26.0,49.0
02:08:08,25.0,48.0
02:08:12,26.0,49.0
02:08:14,25.0,48.0
02:08:15,25.0,48.0
02:08:17,25.0,48.0
02:08:18,26.0,49.0
02:08:20,26.0,49.0
02:08:21,25.0,48.0
02:08:23,25.0,48.0
02:08:24,26.0,49.0
02:08:26,25.0,48.0
02:08:30,25.0,48.0
02:08:32,26.0,49.0
02:08:33,26.0,49.0
02:08:35,25.0,48.0
02:08:36,26.0,49.0
02:08:38,25.0,48.0
02:08:39,26.0,49.0
02:08:43,26.0,49.0
02:08:45,25.0,48.0
02:08:46,25.0,48.0
02:08:48,25.0,48.0
02:08:49,25.0,48.0
02:08:51,25.0,48.0
02:08:52,25.0,48.0
02:08:56,25.0,48.0
02:08:58,25.0,48.0
02:08:59,25.0,48.0
02:09:01,25.0,48.0
02:09:03,25.0,48.0
02:09:04,26.0,49.0
02:09:06,25.0,48.0
02:09:07,25.0,48.0
02:09:09,25.0,48.0
02:09:10,25.0,48.0
02:09:12,25.0,48.0
02:09:13,25.0,48.0
02:09:15,25.0,48.0
02:09:19,25.0,48.0
02:09:20,25.0,48.0
02:09:22,26.0,49.0
02:09:23,25.0,48.0
02:09:25,25.0,48.0
02:09:26,26.0,49.0
02:09:28,26.0,49.0
02:09:29,25.0,48.0
02:09:31,25.0,48.0
02:09:33,26.0,49.0
02:09:34,26.0,49.0
02:09:36,25.0,48.0
02:09:37,25.0,48.0
02:09:44,25.0,48.0
02:09:45,25.0,48.0
02:09:52,26.0,49.0
02:09:53,25.0,48.0
02:09:57,25.0,48.0
02:09:59,25.0,48.0
