time_of_day,temperature,humidity
16:00:00,27.0,45.0
16:00:02,26.0,44.0
16:00:03,26.0,44.0
16:00:05,26.0,44.0
16:00:06,26.0,44.0
16:00:08,27.0,44.0
16:00:09,27.0,44.0
16:00:11,26.0,44.0
16:00:12,27.0,44.0
16:00:19,26.0,44.0
16:00:21,26.0,44.0
16:00:22,26.0,44.0
16:00:31,26.0,44.0
16:00:33,26.0,44.0
16:00:34,26.0,44.0
16:00:36,26.0,45.0
16:00:37,26.0,45.0
16:00:39,26.0,45.0
16:00:40,26.0,45.0
16:00:42,26.0,45.0
16:00:43,26.0,45.0
16:00:45,27.0,44.0
16:00:46,26.0,45.0
16:00:48,26.0,45.0
16:00:49,26.0,44.0
16:00:51,26.0,45.0
16:00:53,27.0,44.0
16:00:54,26.0,44.0
16:00:56,26.0,44.0
16:00:57,26.0,44.0
16:00:59,26.0,44.0
16:01:00,26.0,44.0
16:01:02,26.0,44.0
16:01:03,27.0,44.0
16:01:05,27.0,44.0
16:01:06,26.0,44.0
16:01:08,27.0,44.0
16:01:09,26.0,44.0
16:01:11,26.0,44.0
16:01:12,27.0,44.0
16:01:14,27.0,44.0
16:01:15,26.0,44.0
16:01:17,26.0,44.0
16:01:19,26.0,44.0
16:01:25,26.0,44.0
16:01:27,26.0,44.0
16:01:31,26.0,44.0
16:01:40,26.0,45.0
16:01:44,26.0,45.0
16:01:45,26.0,45.0
16:01:47,26.0,45.0
16:01:48,27.0,45.0
16:01:50,26.0,45.0
16:01:51,26.0,45.0
16:01:53,26.0,45.0
16:01:55,26.0,45.0
16:01:56,26.0,45.0
16:01:58,27.0,45.0
16:01:59,26.0,45.0
16:02:01,26.0,45.0
16:02:02,26.0,45.0
16:02:04,27.0,45.0
16:02:05,26.0,45.0
16:02:07,26.0,45.0
16:02:08,26.0,45.0
16:02:10,27.0,45.0
16:02:11,26.0,45.0
16:02:13,26.0,45.0
16:02:14,26.0,45.0
16:02:18,26.0,44.0
16:02:20,26.0,44.0
16:02:22,26.0,45.0
16:02:23,26.0,45.0
16:02:25,26.0,45.0
16:02:26,26.0,45.0
16:02:30,26.0,45.0
16:02:32,26.0,44.0
16:02:33,27.0,45.0
16:02:35,26.0,45.0
16:02:36,26.0,45.0
16:02:38,26.0,45.0
16:02:39,26.0,45.0
16:02:41,26.0,45.0
16:02:42,26.0,45.0
16:02:44,26.0,45.0
16:02:45,26.0,45.0
16:02:47,26.0,45.0
16:02:48,26.0,45.0
16:02:50,26.0,45.0
16:02:52,26.0,45.0
16:02:53,26.0,44.0
16:02:55,26.0,45.0
16:02:56,26.0,45.0
16:02:58,26.0,45.0
16:03:02,26.0,45.0
16:03:03,26.0,45.0
16:03:05,26.0,45.0
16:03:06,26.0,45.0
16:03:08,26.0,45.0
16:03:09,26.0,45.0
16:03:11,26.0,45.0
16:03:12,26.0,45.0
16:03:14,26.0,45.0
16:03:15,26.0,45.0
16:03:17,26.0,45.0
16:03:18,26.0,45.0
