time_of_day,temperature,humidity
16:00:00,26.0,37.0
16:00:02,26.0,37.0
16:00:06,26.0,37.0
16:00:07,26.0,37.0
16:00:09,26.0,37.0
16:00:13,26.0,37.0
16:00:14,26.0,37.0
16:00:16,26.0,37.0
16:00:18,26.0,37.0
16:00:19,26.0,37.0
16:00:21,26.0,37.0
16:00:22,26.0,37.0
16:00:24,26.0,37.0
16:00:25,26.0,37.0
16:00:27,26.0,37.0
16:00:28,26.0,37.0
16:00:30,26.0,37.0
16:00:31,26.0,37.0
16:00:33,26.0,37.0
16:00:34,26.0,37.0
16:00:38,26.0,37.0
16:00:40,26.0,37.0
16:00:41,26.0,37.0
16:00:43,26.0,37.0
16:00:45,26.0,37.0
16:00:46,26.0,37.0
16:00:48,26.0,37.0
16:00:52,26.0,37.0
16:00:53,26.0,37.0
16:00:57,26.0,37.0
16:00:59,26.0,37.0
16:01:00,26.0,37.0
16:01:02,26.0,37.0
16:01:03,26.0,37.0
16:01:05,26.0,37.0
16:01:06,26.0,37.0
16:01:08,26.0,37.0
16:01:09,26.0,37.0
16:01:11,26.0,37.0
16:01:12,26.0,37.0
16:01:14,26.0,37.0
16:01:16,26.0,37.0
16:01:17,26.0,37.0
16:01:19,26.0,37.0
16:01:20,26.0,37.0
16:01:22,26.0,37.0
16:01:23,26.0,37.0
16:01:27,26.0,37.0
16:01:29,26.0,37.0
16:01:30,26.0,37.0
16:01:34,26.0,37.0
16:01:36,26.0,37.0
16:01:37,26.0,37.0
16:01:39,26.0,37.0
16:01:40,26.0,37.0
16:01:42,26.0,37.0
16:01:43,26.0,37.0
16:01:45,26.0,37.0
16:01:47,26.0,37.0
16:01:48,26.0,37.0
16:01:50,26.0,37.0
16:01:51,26.0,37.0
16:01:53,26.0,37.0
16:01:54,26.0,37.0
16:01:56,26.0,37.0
16:01:57,26.0,37.0
16:02:01,26.0,37.0
16:02:03,26.0,37.0
16:02:04,26.0,37.0
16:02:06,26.0,37.0
16:02:07,26.0,37.0
16:02:11,26.0,37.0
16:02:13,26.0,37.0
16:02:15,26.0,37.0
16:02:16,26.0,37.0
16:02:18,26.0,37.0
16:02:19,26.0,37.0
16:02:21,26.0,37.0
16:02:22,26.0,37.0
16:02:24,26.0,37.0
16:02:25,26.0,37.0
16:02:27,26.0,37.0
16:02:28,26.0,37.0
16:02:30,26.0,37.0
16:02:31,26.0,37.0
16:02:33,26.0,37.0
16:02:34,26.0,37.0
16:02:36,26.0,37.0
16:02:37,26.0,37.0
16:02:39,26.0,37.0
16:02:40,26.0,37.0
16:02:42,26.0,37.0
16:02:44,26.0,37.0
16:02:45,26.0,37.0
16:02:47,26.0,37.0
16:02:48,26.0,37.0
16:02:52,26.0,37.0
16:02:54,26.0,37.0
16:02:55,26.0,37.0
16:02:57,26.0,37.0
16:02:58,26.0,37.0
16:03:02,26.0,37.0
16:03:06,26.0,37.0
16:03:08,26.0,37.0
16:03:09,26.0,37.0
16:03:11,26.0,37.0
16:03:12,26.0,37.0
16:03:14,26.0,37.0
16:03:16,26.0,37.0
16:03:20,26.0,37.0
16:03:21,26.0,37.0
16:03:23,26.0,37.0
16:03:24,26.0,37.0
16:03:26,26.0,37.0
16:03:27,26.0,37.0
16:03:29,26.0,37.0
16:03:30,26.0,37.0
16:03:32,26.0,37.0
16:03:33,26.0,37.0
16:03:35,26.0,37.0
16:03:41,26.0,37.0
16:03:43,26.0,37.0
16:03:45,26.0,37.0
16:03:46,26.0,37.0
16:03:48,26.0,37.0
16:03:49,26.0,37.0
16:03:51,26.0,37.0
16:03:52,26.0,37.0
16:03:54,26.0,37.0
16:04:00,26.0,37.0
16:04:02,26.0,37.0
16:04:03,26.0,37.0
16:04:05,26.0,37.0
16:04:06,26.0,37.0
16:04:08,26.0,37.0
16:04:09,26.0,37.0
16:04:11,26.0,37.0
16:04:12,26.0,37.0
16:04:14,26.0,37.0
16:04:16,26.0,37.0
16:04:17,26.0,37.0
16:04:19,26.0,37.0
16:04:20,26.0,37.0
16:04:22,26.0,37.0
16:04:23,26.0,37.0
16:04:25,26.0,37.0
16:04:29,26.0,37.0
16:04:30,26.0,37.0
16:04:32,26.0,37.0
16:04:33,26.0,37.0
16:04:35,26.0,37.0
16:04:36,26.0,37.0
